filename,denomination,era,side
10c_new_back_001_orig.jpg,10c,new,back
10c_new_back_001_rot90.jpg,10c,new,back
10c_new_back_001_rot180.jpg,10c,new,back
10c_new_back_001_rot270.jpg,10c,new,back
10c_new_back_001_contrast_1.2.jpg,10c,new,back
10c_new_back_001_contrast_1.5.jpg,10c,new,back
10c_new_back_001_bright_30.jpg,10c,new,back
10c_new_back_001_bright_60.jpg,10c,new,back
10c_new_back_001_blur3x3.jpg,10c,new,back
10c_new_back_001_blur5x5.jpg,10c,new,back
10c_new_back_001_noise.jpg,10c,new,back
10c_new_back_002_orig.jpg,10c,new,back
10c_new_back_002_rot90.jpg,10c,new,back
10c_new_back_002_rot180.jpg,10c,new,back
10c_new_back_002_rot270.jpg,10c,new,back
10c_new_back_002_contrast_1.2.jpg,10c,new,back
10c_new_back_002_contrast_1.5.jpg,10c,new,back
10c_new_back_002_bright_30.jpg,10c,new,back
10c_new_back_002_bright_60.jpg,10c,new,back
10c_new_back_002_blur3x3.jpg,10c,new,back
10c_new_back_002_blur5x5.jpg,10c,new,back
10c_new_back_002_noise.jpg,10c,new,back
10c_new_back_003_orig.jpg,10c,new,back
10c_new_back_003_rot90.jpg,10c,new,back
10c_new_back_003_rot180.jpg,10c,new,back
10c_new_back_003_rot270.jpg,10c,new,back
10c_new_back_003_contrast_1.2.jpg,10c,new,back
10c_new_back_003_contrast_1.5.jpg,10c,new,back
10c_new_back_003_bright_30.jpg,10c,new,back
10c_new_back_003_bright_60.jpg,10c,new,back
10c_new_back_003_blur3x3.jpg,10c,new,back
10c_new_back_003_blur5x5.jpg,10c,new,back
10c_new_back_003_noise.jpg,10c,new,back
10c_new_back_004_orig.jpg,10c,new,back
10c_new_back_004_rot90.jpg,10c,new,back
10c_new_back_004_rot180.jpg,10c,new,back
10c_new_back_004_rot270.jpg,10c,new,back
10c_new_back_004_contrast_1.2.jpg,10c,new,back
10c_new_back_004_contrast_1.5.jpg,10c,new,back
10c_new_back_004_bright_30.jpg,10c,new,back
10c_new_back_004_bright_60.jpg,10c,new,back
10c_new_back_004_blur3x3.jpg,10c,new,back
10c_new_back_004_blur5x5.jpg,10c,new,back
10c_new_back_004_noise.jpg,10c,new,back
10c_new_back_005_orig.jpg,10c,new,back
10c_new_back_005_rot90.jpg,10c,new,back
10c_new_back_005_rot180.jpg,10c,new,back
10c_new_back_005_rot270.jpg,10c,new,back
10c_new_back_005_contrast_1.2.jpg,10c,new,back
10c_new_back_005_contrast_1.5.jpg,10c,new,back
10c_new_back_005_bright_30.jpg,10c,new,back
10c_new_back_005_bright_60.jpg,10c,new,back
10c_new_back_005_blur3x3.jpg,10c,new,back
10c_new_back_005_blur5x5.jpg,10c,new,back
10c_new_back_005_noise.jpg,10c,new,back
10c_new_back_006_orig.jpg,10c,new,back
10c_new_back_006_rot90.jpg,10c,new,back
10c_new_back_006_rot180.jpg,10c,new,back
10c_new_back_006_rot270.jpg,10c,new,back
10c_new_back_006_contrast_1.2.jpg,10c,new,back
10c_new_back_006_contrast_1.5.jpg,10c,new,back
10c_new_back_006_bright_30.jpg,10c,new,back
10c_new_back_006_bright_60.jpg,10c,new,back
10c_new_back_006_blur3x3.jpg,10c,new,back
10c_new_back_006_blur5x5.jpg,10c,new,back
10c_new_back_006_noise.jpg,10c,new,back
10c_new_back_007_orig.jpg,10c,new,back
10c_new_back_007_rot90.jpg,10c,new,back
10c_new_back_007_rot180.jpg,10c,new,back
10c_new_back_007_rot270.jpg,10c,new,back
10c_new_back_007_contrast_1.2.jpg,10c,new,back
